Country,Both sexes,Female,Male,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Congo,11.6,6.1,18.3,159.33333333333334,157.33333333333334,172.33333333333334,165.66666666666666,163.0,140.33333333333334,121.66666666666667,120.0,102.0,119.66666666666667,136.0,141.33333333333334,1698.6666666666667
Costa Rica,7.6,1.9,13.3,,,,,,,,,,,,,
Croatia,11.0,5.1,17.7,96.0,124.5,163.0,192.5,253.5,275.0,314.0,288.0,216.5,161.5,100.5,87.5,2272.0
Cuba,10.2,4.1,16.7,,,,,,,,,,,,,
Cyprus,3.2,1.1,5.3,182.9,200.1,238.7,267.0,331.7,369.0,387.5,365.8,312.0,275.9,213.0,170.5,3314.1
Czech Republic,,,,50.0,72.0,125.0,168.0,214.0,218.0,226.0,212.0,161.0,121.0,54.0,47.0,1668.0
Czechia,9.5,3.8,15.4,,,,,,,,,,,,,
Côte d'Ivoire,15.7,5.0,25.7,,,,,,,,,,,,,
Democratic People's Republic of Korea,8.2,6.3,10.6,,,,,,,,,,,,,
Democratic Republic of the Congo,12.4,5.0,20.7,126.5,130.0,164.5,192.0,223.0,207.5,219.5,236.5,207.0,218.5,172.0,128.0,2225.0
Denmark,7.6,4.2,11.1,51.0,77.0,150.66666666666666,228.66666666666666,280.6666666666667,275.3333333333333,256.6666666666667,231.33333333333334,176.0,104.0,57.666666666666664,43.666666666666664,1932.0
Djibouti,11.9,7.6,16.3,254.0,249.0,279.0,279.0,310.0,237.0,236.0,276.0,282.0,310.0,291.0,276.0,3279.0
Dominican Republic,5.1,1.9,8.5,,,,,,,,,,,,,
Ecuador,7.7,3.6,11.9,149.65,120.85,130.75,143.0,165.7,156.0,188.05,194.65,170.0,156.7,158.5,175.7,1909.55
Egypt,3.4,2.2,4.7,257.12,260.28000000000003,291.7,310.91999999999996,343.1,364.8,376.74,358.98,323.71999999999997,303.04,271.18,247.11999999999998,3710.6800000000003
El Salvador,6.1,2.1,11.1,301.0,277.0,294.0,243.0,220.0,174.0,239.0,257.0,180.0,211.0,267.0,294.0,2957.0
Equatorial Guinea,13.5,8.8,18.5,175.15,172.3,141.05,148.5,153.45,108.0,94.55,100.75,81.0,91.45,120.0,162.75,1548.95
Eritrea,17.3,8.3,27.2,304.7,289.1,300.7,300.5,298.5,271.5,217.9,220.1,260.4,301.0,292.5,299.1,3361.0
Estonia,12.0,4.5,20.2,33.5,64.0,149.0,221.5,311.0,304.0,321.0,263.5,169.0,94.0,33.5,22.0,1994.5
Eswatini,40.5,6.4,78.7,,,,,,,,,,,,,
Ethiopia,9.5,5.2,14.2,281.95,261.6,263.95,245.1,260.1,193.05,138.55,149.9,193.35,278.85,279.9,285.05,2784.8500000000004
Falkland Islands,,,,198.0,161.0,169.0,115.0,77.0,57.0,69.0,90.0,128.0,189.0,200.0,198.0,1651.0
Faroe Islands,,,,14.0,36.0,71.0,106.0,124.0,125.0,111.0,98.0,80.0,49.0,20.0,6.0,840.0
Fiji,9.5,6.0,13.1,192.2,178.0,170.5,153.0,145.7,141.0,136.4,142.6,135.0,164.3,168.0,195.3,1922.0
Finland,13.4,6.8,20.1,38.0,70.0,138.0,194.0,284.0,297.0,291.0,238.0,150.0,93.0,36.0,29.0,1858.0
France,9.7,4.5,15.2,95.66666666666667,112.0,171.33333333333334,200.66666666666666,236.0,260.6666666666667,287.0,264.0,205.66666666666666,151.0,100.0,82.66666666666667,2166.6666666666665
French Guiana,,,,94.3,89.9,119.0,118.1,118.8,148.6,196.5,229.8,255.2,251.1,217.3,137.5,1976.0
Gabon,13.1,3.8,23.3,162.8,168.8,165.7,164.15,153.65,143.45,141.15,112.85000000000001,110.80000000000001,114.5,124.85,157.5,1720.1999999999998
Gambia,9.6,6.2,13.3,279.0,282.0,310.0,300.0,310.0,270.0,186.0,186.0,180.0,248.0,240.0,279.0,3070.0
Georgia,7.7,2.2,14.0,99.0,102.0,142.0,171.0,213.0,249.0,256.0,248.0,206.0,164.0,103.0,93.0,2046.0
Germany,8.3,3.9,12.8,48.5,77.0,121.0,168.5,215.5,220.5,225.0,215.0,156.0,107.5,51.0,39.0,1644.0
Ghana,10.5,1.8,20.0,223.0666666666667,216.29999999999998,224.0,214.33333333333334,223.23333333333335,169.43333333333334,142.56666666666666,123.66666666666667,149.06666666666666,213.1,238.9333333333333,229.83333333333334,2367.5
Greece,3.6,1.5,5.9,130.0,134.0,183.0,231.0,291.0,336.0,363.0,341.0,276.0,208.0,153.0,127.0,2773.0
Grenada,0.6,0.7,0.5,,,,,,,,,,,,,
Guatemala,6.2,2.5,10.3,,,,,,,,,,,,,
Guinea,12.3,8.0,18.4,242.5,230.0,250.0,221.0,221.0,184.5,139.0,123.0,163.0,205.0,224.0,237.0,2440.0
Guinea-Bissau,12.4,6.7,19.8,248.0,226.0,279.0,270.0,248.0,210.0,186.0,155.0,180.0,217.0,240.0,248.0,2707.0
Guyana,40.9,17.0,65.0,201.0,208.6,219.7,197.9,178.8,156.7,201.6,233.7,229.8,235.3,210.9,186.6,2460.6
Haiti,11.2,8.0,14.9,,,,,,,,,,,,,
Honduras,2.6,1.0,4.4,170.5,192.1,217.0,234.0,213.9,192.0,201.5,217.0,174.0,151.9,144.0,151.9,2259.8
Hungary,11.8,5.5,19.1,62.0,93.0,137.0,177.0,234.0,250.0,271.0,255.0,187.0,141.0,69.0,52.0,1988.0
Iceland,11.2,3.5,18.7,20.0,60.0,109.0,164.0,201.0,174.0,168.0,155.0,120.0,93.0,41.0,22.0,1326.0
India,12.9,11.1,14.7,236.5,232.6,260.32,266.21999999999997,265.62,167.84,117.4,132.18,167.85999999999999,224.48000000000002,226.95999999999998,219.04000000000002,2517.02
